SurfaceName,PieceId,X,Y,Z
Gravel Surface 1,2,1219.9660,592.8299,13.0000
Gravel Surface 1,2,1221.3676,594.2546,13.0000
Gravel Surface 1,2,1221.1665,590.5024,12.9228
Gravel Surface 1,2,1222.4203,591.5294,12.9174
Gravel Surface 1,2,1222.7990,591.8397,12.9262
Gravel Surface 1,2,1222.5733,595.8486,13.0000
Gravel Surface 1,2,1224.0030,592.8260,12.9159
Gravel Surface 1,2,1224.3931,593.1455,12.9229
Gravel Surface 1,2,1224.7408,593.4304,12.9280
Gravel Surface 1,2,1223.5626,597.5851,13.0000
Gravel Surface 1,2,1224.8900,593.5526,12.9264
Gravel Surface 1,2,1225.9664,594.4177,12.9145
Gravel Surface 1,2,1226.3660,594.7388,12.9186
Gravel Surface 1,2,1224.3192,599.4350,13.0000
Gravel Surface 1,2,1227.5252,595.6703,12.9027
Gravel Surface 1,2,1227.9925,596.0459,12.9059
Gravel Surface 1,2,1228.4505,596.4139,12.9080
Gravel Surface 1,2,1226.7095,602.3462,13.0161
Gravel Surface 1,2,1226.2870,602.8607,13.0105
Gravel Surface 1,2,1225.5508,603.5931,12.9700
Gravel Surface 1,2,1225.0869,603.3492,13.0000
Gravel Surface 1,2,1225.5067,603.6495,12.9910
Gravel Surface 1,2,1225.9260,603.3003,12.9887
Gravel Surface 1,2,1226.8965,604.6433,12.9875
Gravel Surface 1,2,1226.6299,603.8638,12.9976
Gravel Surface 1,2,1228.2666,600.4499,12.9701
Gravel Surface 1,2,1230.1114,598.3568,12.9180
Gravel Surface 1,2,1230.3404,597.9327,12.9090
Gravel Surface 1,2,1220.7587,590.1753,12.9108
Gravel Surface 1,2,1219.4723,589.1471,12.9102
Gravel Surface 1,2,1218.9801,588.7537,12.8920
Gravel Surface 1,2,1218.2494,588.1698,12.8615
Gravel Surface 1,2,1217.0310,587.1960,12.8510
Gravel Surface 1,2,1216.6717,590.5808,13.0000
Gravel Surface 1,2,1215.8531,586.2545,12.7895
Gravel Surface 1,2,1214.7849,585.4007,12.7685
Gravel Surface 1,2,1214.8344,589.7942,13.0000
Gravel Surface 1,2,1211.3857,594.5125,13.5000
Gravel Surface 1,2,1212.9108,589.2518,13.0000
Gravel Surface 1,2,1213.8453,584.6497,12.7428
Gravel Surface 1,2,1211.9246,583.1289,12.5958
Gravel Surface 1,2,1212.6960,583.7312,12.6543
Gravel Surface 1,2,1211.5687,582.8510,12.5806
Gravel Surface 1,2,1210.9332,588.9627,13.0000
Gravel Surface 1,2,1210.6654,582.2601,12.5000
Gravel Surface 1,2,1208.7939,583.3238,12.5000
Gravel Surface 1,2,1200.7799,581.5822,12.3137
Gravel Surface 1,2,1209.2830,581.4266,12.4521
Gravel Surface 1,2,1201.8211,581.0112,12.3143
Gravel Surface 1,2,1202.7891,580.7507,12.3228
Gravel Surface 1,2,1203.1501,580.6536,12.3322
Gravel Surface 1,2,1206.7385,580.6142,12.4104
Gravel Surface 1,2,1207.9781,580.9602,12.4315
Gravel Surface 1,2,1204.5201,580.5208,12.3640
Gravel Surface 1,2,1206.3032,580.5208,12.4025
Gravel Surface 1,2,1206.4037,580.5208,12.4046
Gravel Surface 1,2,1209.5219,581.5120,12.4586
Gravel Surface 1,2,1199.2297,582.5121,12.2443
Gravel Surface 1,2,1198.4238,583.0997,12.2452
Gravel Surface 1,2,1198.3246,583.2213,12.2470
Gravel Surface 1,2,1206.0615,585.2309,12.5000
Gravel Surface 1,2,1208.9349,588.9318,13.0000
Gravel Surface 1,2,1206.9493,589.1595,13.0000
Gravel Surface 1,2,1207.3310,592.7991,13.5000
Gravel Surface 1,2,1205.4765,592.3421,13.5000
Gravel Surface 1,2,1207.6533,594.1758,13.9423
Gravel Surface 1,2,1207.7037,594.2106,13.9482
Gravel Surface 1,2,1194.3527,594.0991,12.0000
Gravel Surface 1,2,1207.4001,594.0015,13.9041
Gravel Surface 1,2,1203.5208,591.3302,13.1637
Gravel Surface 1,2,1203.1491,590.3715,13.0000
Gravel Surface 1,2,1205.0098,589.6421,13.0000
Gravel Surface 1,2,1203.5828,587.3212,12.5000
Gravel Surface 1,2,1197.6299,584.1062,12.2559
Gravel Surface 1,2,1196.7077,585.2807,12.0650
Gravel Surface 1,2,1199.8463,588.7999,12.0269
Gravel Surface 1,2,1196.6425,585.3637,12.0515
Gravel Surface 1,2,1199.1627,588.3291,12.0081
Gravel Surface 1,2,1196.0456,586.1827,12.0003
Gravel Surface 1,2,1195.8211,586.4907,11.9960
Gravel Surface 1,2,1198.6355,588.7856,12.0000
Gravel Surface 1,2,1200.4069,589.1859,12.2205
Gravel Surface 1,2,1200.8238,589.4730,12.3678
Gravel Surface 1,2,1201.9605,590.2557,12.7599
Gravel Surface 1,2,1201.3020,589.6259,12.5000
Gravel Surface 1,2,1202.6739,590.7470,13.0000
Gravel Surface 1,2,1202.9916,590.4464,13.0000
Gravel Surface 1,2,1193.4543,589.7382,11.9962
Gravel Surface 1,2,1193.3791,589.8527,11.9948
Gravel Surface 1,2,1193.2851,589.9957,11.9948
Gravel Surface 1,2,1189.5531,594.6769,11.9948
Gravel Surface 1,2,1188.0771,601.8848,12.0000
Gravel Surface 1,2,1187.4322,597.3373,11.9937
Gravel Surface 1,2,1187.3612,597.4263,11.9930
Gravel Surface 1,2,1187.3083,597.4927,11.9922
Gravel Surface 1,2,1182.1535,603.9586,11.9921
Gravel Surface 1,2,1181.8016,609.6705,12.0000
Gravel Surface 1,2,1175.5260,617.4562,12.0000
Gravel Surface 1,2,1164.0903,652.3520,13.6923
Gravel Surface 1,2,1169.2504,625.2420,12.0000
Gravel Surface 1,2,1166.0658,624.1383,11.9561
Gravel Surface 1,2,1171.7328,617.0298,11.9554
Gravel Surface 1,2,1177.3831,609.9425,11.9547
Gravel Surface 1,2,1181.1064,605.2721,11.9916
Gravel Surface 1,2,1160.3820,631.2678,11.9568
Gravel Surface 1,2,1162.9749,633.0277,12.0000
Gravel Surface 1,2,1163.9168,652.1990,13.6622
Gravel Surface 1,2,1163.5162,651.8459,13.5927
Gravel Surface 1,2,1156.6993,640.8134,12.0000
Gravel Surface 1,2,1161.6015,650.1582,13.2607
Gravel Surface 1,2,1154.3320,643.7504,12.0000
Gravel Surface 1,2,1153.5938,639.7826,11.9536
Gravel Surface 1,2,1154.1710,639.0586,11.9557
Gravel Surface 1,2,1159.8410,631.9464,11.9550
Gravel Surface 1,2,1152.0407,641.7307,11.9538
Gravel Surface 1,2,1164.5184,652.7293,13.7725
Gravel Surface 1,2,1208.6949,594.8931,13.9541
Gravel Surface 1,2,1209.1335,593.4311,13.5000
Gravel Surface 1,2,1194.0543,588.9150,11.9961
Gravel Surface 1,2,1199.6710,582.1903,12.2656
Gravel Surface 1,2,1221.1073,590.4539,12.9210
Gravel Surface 1,2,1216.6644,601.0638,13.9803
Gravel Surface 1,2,1223.3915,606.3548,14.0000
Gravel Surface 2,0,1019.4942,651.2332,11.2946
Gravel Surface 2,0,1018.8171,652.0992,11.2860
Gravel Surface 2,0,1021.0155,642.0274,11.5152
Gravel Surface 2,0,1015.5914,656.2248,11.2454
Gravel Surface 2,0,1014.3671,657.7907,11.2300
Gravel Surface 2,0,1018.8915,644.6083,11.4811
Gravel Surface 2,0,1014.2656,657.9205,11.2282
Gravel Surface 2,0,1013.2994,659.1892,11.2105
Gravel Surface 2,0,1007.1909,667.0181,11.0901
Gravel Surface 2,0,1010.9280,662.3030,11.1621
Gravel Surface 2,0,1002.3934,650.0051,11.4965
Gravel Surface 2,0,1017.0383,643.0796,11.5539
Gravel Surface 2,0,1016.2280,642.4112,11.5857
Gravel Surface 2,0,1011.8176,639.0019,11.7537
Gravel Surface 2,0,998.4263,670.4302,10.7683
Gravel Surface 2,0,998.1948,651.1667,11.3565
Gravel Surface 2,0,987.9069,642.5752,11.6738
Gravel Surface 2,0,997.5653,650.6410,11.3759
Gravel Surface 2,0,988.8079,638.3396,11.9344
Gravel Surface 2,0,995.5927,644.1655,11.7157
Gravel Surface 2,0,987.7092,637.3962,11.9698
Gravel Surface 2,0,985.8467,637.3705,11.9526
Gravel Surface 2,0,986.2878,636.7511,12.0000
Gravel Surface 2,0,982.3644,628.8949,12.0064
Gravel Surface 2,0,988.1052,634.1988,12.1318
Gravel Surface 2,0,987.4145,633.5606,12.1167
Gravel Surface 2,0,988.3244,634.4013,12.1219
Gravel Surface 2,0,988.3476,636.6631,12.0078
Gravel Surface 2,0,989.4287,635.4215,12.0722
Gravel Surface 2,0,980.0464,645.5164,11.3291
Gravel Surface 2,0,969.5823,628.5296,11.5763
Gravel Surface 2,0,969.3138,645.5919,11.0770
Gravel Surface 2,0,964.1597,636.9317,11.2641
Gravel Surface 2,0,961.9662,602.7567,10.9884
Gravel Surface 2,0,965.0747,605.1531,10.9996
Gravel Surface 2,0,975.0050,620.1276,11.8885
Gravel Surface 2,0,985.3965,624.0928,12.2250
Gravel Surface 2,0,985.8496,623.3752,12.2577
Gravel Surface 2,0,976.9421,617.1262,12.0000
Gravel Surface 2,0,980.2825,611.6345,12.3913
Gravel Surface 2,0,965.3135,604.8525,11.0009
Gravel Surface 2,0,967.1022,602.5903,12.0000
Gravel Surface 2,0,970.9656,597.7442,13.0000
Gravel Surface 2,0,985.4792,603.0909,13.0000
Gravel Surface 2,0,972.0712,596.3574,13.1000
Gravel Surface 2,0,973.0955,595.0725,13.0526
Gravel Surface 2,0,974.2342,593.6442,13.0000
Gravel Surface 2,0,977.2331,589.8825,13.1634
Gravel Surface 2,0,978.1189,588.7712,13.2117
Gravel Surface 2,0,993.8396,579.4340,13.4724
